timestamp,ax,ay,az,gx,gy,gz,gnss_lat,gnss_lon,gnss_head
0.02,0.0944,0.1348,9.8336,0.0003,0.0003,0.0182,52.5618279,-1.45523,17.309
0.12,0.0343,-0.083,9.9933,0.0239,0.0239,0.0427,52.5618284,-1.4552299,15.957000000044923
0.22,-0.1262,0.0623,9.732,-0.0271,-0.0271,-0.0228,52.5618289,-1.4552295,19.04399999990294
0.32,0.0465,-0.0244,9.9253,0.0,0.0,0.0226,52.5618295,-1.4552292999999998,15.709000000097062
0.42,0.0531,0.1501,9.8509,0.0048,0.0048,-0.0356,52.56183,-1.455229,16.66899999998603
0.52,-0.3031,-0.04,9.863,-0.0162,-0.0162,0.008,52.5618306,-1.4552288,15.836
0.62,-0.1031,-0.131,9.8922,0.0087,0.0087,0.0029,52.5618311,-1.4552287,13.568000000021522
0.72,0.0352,0.116,9.7963,-0.0037,-0.0037,0.0001,52.5618317,-1.4552284,15.04699999992113
0.82,0.0935,-0.115,9.9135,-0.0082,-0.0082,0.0021,52.5618324,-1.4552282,12.337000000078874
0.92,-0.1435,0.0572,9.7802,0.0002,0.0002,-0.0016,52.561833,-1.4552279,15.072999999960187
1.02,-0.0446,-0.0627,9.9075,-0.0077,-0.0077,0.0017,52.561833500000006,-1.4552278,11.004
1.12,-0.0267,0.0162,9.836,-0.0129,-0.0129,0.0171,52.561834100000006,-1.4552273999999998,16.983999999917604
1.22,-0.2089,-0.03,9.868,0.005,0.005,-0.0005,52.561834600000005,-1.4552273999999998,11.322000000058118
1.32,0.1592,-0.1985,10.0168,-0.0244,-0.0244,0.0202,52.5618351,-1.4552272,13.318999999941882
1.42,0.1705,0.1579,9.8721,0.0086,0.0086,-0.0059,52.5618357,-1.4552272,7.050000000091231
1.52,0.0653,-0.0814,9.8808,0.0068,0.0068,-0.0209,52.561836,-1.4552269,13.249
1.62,-0.1702,-0.1032,9.8916,-0.015,-0.015,-0.003,52.5618363,-1.4552268,13.805000000022934
1.719,-0.0126,-0.1007,9.9447,-0.0053,-0.0053,0.0032,52.561836597,-1.4552266019999998,15.365240000045638
1.82,0.1346,-0.0663,9.8053,-0.0035,-0.0035,0.0186,52.5618369,-1.4552264,17.897999999926746
1.92,0.0229,-0.0647,9.8768,0.0095,0.0095,-0.0117,52.56183740000001,-1.4552264,11.139000000098362
2.019,-0.078,-0.1079,9.8789,-0.0215,-0.0215,0.008,52.561837598,-1.4552262019999997,17.122559999999126
2.12,0.1383,-0.0039,9.5927,-0.0277,-0.0277,-0.0135,52.5618381,-1.4552261000000002,15.221999999947828
2.22,0.0603,0.3999,9.495,0.0432,0.0432,0.0184,52.56183839999999,-1.455226,11.637000000180164
2.32,-0.3417,-0.0657,9.6021,-0.0035,-0.0035,-0.0114,52.5618389,-1.4552257,17.82699999981984
2.42,-0.4797,0.0194,9.7442,-0.017,-0.017,0.0463,52.5618394,-1.4552256,14.522000000048097
2.519,-0.1729,0.0237,9.8284,-0.0121,-0.0121,-0.0053,52.561839993999996,-1.455225402,13.571600000000139
2.62,0.1572,0.146,9.7664,-0.0067,-0.0067,-0.0291,52.5618405,-1.4552252,14.689999999930698
2.72,0.1454,0.0001,9.7857,0.0085,0.0085,0.0047,52.5618411,-1.4552251,9.928000000102482
2.82,-0.3266,-0.0542,9.9032,-0.0012,-0.0012,0.019,52.5618417,-1.4552248,13.44899999989752
2.919,-0.1853,-0.2191,9.862,-0.0001,-0.0001,-0.0141,52.56184209600001,-1.455224602,14.293469999987463
3.02,-0.0906,0.1413,9.8324,-0.0107,-0.0107,-0.0068,52.56184270000001,-1.4552245,9.58
3.12,0.098,-0.0312,9.809,-0.0026,-0.0026,-0.0128,52.561843,-1.4552242,14.250999999959994
3.222,-0.2104,-0.0732,9.8048,0.0098,0.0098,-0.0218,52.561843606000004,-1.455224098,11.481879999971893
3.32,-0.2094,-0.0475,9.8765,0.0042,0.0042,0.0159,52.5618439,-1.455224,10.49600000002928
3.42,-0.0005,-0.0432,9.7426,0.0172,0.0172,0.0024,52.5618443,-1.4552239,15.390999999928763
3.52,-0.1464,-0.0196,9.7925,-0.0155,-0.0155,0.0063,52.5618447,-1.4552237,16.455
3.62,0.0324,-0.0814,9.8016,-0.0097,-0.0097,-0.0002,52.5618448,-1.4552236,16.113999999957883
3.719,0.0282,-0.1521,9.8839,-0.0067,-0.0067,-0.0048,52.561845196,-1.455223501,13.2489399999162
3.82,-0.0511,-0.0452,9.8206,-0.0015,-0.0015,-0.0054,52.5618455,-1.4552233,15.543999999932359
3.92,-0.1223,-0.1497,9.8752,0.0002,0.0002,0.0056,52.5618456,-1.4552232,16.49099999998622
4.02,-0.113,0.023,9.837,0.0005,0.0005,0.0001,52.5618461,-1.4552231,14.806000000000006
4.12,0.1495,-0.2298,9.9524,-0.0069,-0.0069,0.0196,52.5618463,-1.4552229,16.995999999999867
4.22,-0.0559,-0.1092,9.815,0.0018,0.0018,-0.0112,52.5618464,-1.4552228000000005,16.987000000082663
