session_id,s_file,v_file,rows,duration_s,dt_mean_ms,dt_std_ms,hz,status
M,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-M.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-M.csv,105974,10598.665023874231,100.01193711546446,3.968366473559646,9.998806430931271,VALID
S1,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-S1.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-S1.csv,51746,5174.598999980674,99.9999806744613,0.7646277014987142,10.000001932554243,VALID
S2,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-S2.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-S2.csv,93876,9387.6,100.0,0.5868541640222023,10.0,VALID
S3a,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-S3a.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-S3a.csv,24621,2462.1,100.0,0.7830453578777589,10.0,VALID
S3b,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-S3b.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-S3b.csv,6813,681.3,100.0,0.7916017857280369,10.0,VALID
S3c,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-S3c.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-S3c.csv,37183,3718.2989999731053,99.999973105266,0.8548116913237225,10.000002689474124,VALID
S4,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-S4.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-S4.csv,94600,9459.998999968286,99.99998942884024,0.8611980014061938,10.000001057116089,VALID
Vta10,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta10.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta10.csv,1502,150.2,100.0,0.6867936684123933,10.0,VALID
Vta11,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta11.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta11.csv,510,51.0,100.0,0.5779171326243465,10.0,VALID
Vta12,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta12.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta12.csv,610,61.0,100.0,0.6225114661205526,10.0,VALID
